cost,description,education_plan,entry_level,estimated_duration,long_title,reviews,skills,title,url
Бесплатный курс,"Для стандартизации вывода текста внутри браузера был придуман стандарт HTML, описывающий правила оформления текстовых данных для корректного вывода. Этот курс посвящён азам HTML разметки, работы с типографикой, вывода медиа документов и работы с формами
","1. HTML разметка,2. Теги,3. Текст в HTML,4. Вложенность тегов,5. Атрибуты HTML,6. Параграфы,7. Начертание текста,8. Заголовки,9. Списки,10. Вложенные списки,11. Таблицы,12. Объединение ячеек внутри строк и столбцов,13. Специальные символы HTML,14. Ссылки,15. Форматированный текст,16. Вставка компьютерного кода в HTML,17. Изображения,18. Аудио,19. Видео,20. Базовая структура,21. Метатеги,22. link,23. Viewport,24. Блочные и строчные элементы,25. Формы в HTML,26. Поле для ввода текста,27. Чекбокс,28. Радиокнопка,29. Textarea,30. Список,31. Отправка формы,32. Семантические элементы,33. Шапка,34. Меню,35. Уникальный контент страницы,36. Секция,37. Самостоятельная секция,38. Боковая панель,39. Семантический WEB,40. Микроразметка,41. Ошибки в HTML-разметке",Базовый,11 часов,"Бесплатный курс по HTML: обучение html верстке для начинающих
",,,HTML,https://code-basics.com/ru/languages/html
Бесплатный курс,"Руби — язык, созданный для того, чтобы программисты были счастливы. Он взял из себя лучшее из Lisp, Smalltalk и Perl — он объектно-ориентирован, но в то же время его декларативность позволяет писать в процедурной и функциональной парадигме
","1. Привет, Мир!,2. Ruby, Ruby, Ruby,3. Всё есть объект,4. Первая функция,5. Логический тип,6. Условные конструкции,7. Условные конструкции (альтернативные варианты),8. Строки,9. Блоки,10. Итераторы,11. Обход строки,12. Типы данных Ruby,13. Классы,14. Модули,15. Всё есть выражение,16. Особенности языка,17. Массивы,18. Методы массивов,19. Хеши,20. Методы хешей,21. Деструктуризация,22. Упаковка аргументов функции,23. Хеш как последний параметр функции,24. Пайплайн,25. Блоки как объекты,26. Трансляция символов в блоки,27. Блоки внутри функции,28. each_with_object,29. Массивы как множества,30. Способы определения массивов,31. Метод fetch и извлечение значений из хеша,32. Hash#new",Средний,13 часов,Ruby как второй язык,,,Ruby,https://code-basics.com/ru/languages/ruby
Бесплатный курс,"Изучение программирования — непростой и длительный процесс. Изучение синтаксиса языка — самая простая и короткая часть в пути, но без неё невозможно начать. Этот курс посвящен азам написания программ на Java. Он готовит плацдарм для написания осмысленных программ
","1. Привет, Мир!,2. Комментарии,3. Инструкции (Statements),4. Как мы проверяем ваши решения,5. Ошибки оформления (синтаксиса),6. Арифметические операции,7. Операторы,8. Коммутативная операция,9. Композиция операций,10. Приоритет операций,11. Числа с плавающей точкой,12. Линтер,13. Кавычки,14. Экранирующие последовательности,15. Конкатенация,16. Что такое переменная,17. Изменение переменной,18. Выбор имени переменной,19. Ошибки при работе с переменными,20. Выражения в определениях,21. Переменные и конкатенация,22. Именование переменных,23. Магические числа,24. Константы,25. Зачем нужны типы данных,26. Явная типизация,27. Какие бывают типы,28. Значение null,29. Явное преобразование типов,30. Методы и их вызов,31. Параметры методов,32. Вызов метода — выражение,33. Неизменяемость строк,34. Цепочки вызовов методов,35. Детерминированность,36. Стандартная библиотека,37. Какие бывают методы,38. Создание (определение) метода,39. Метод main,40. Возврат значений,41. Определение методов,42. Необязательные параметры методов,43. Логический тип,44. Сравнение строк,45. Комбинирование операций и методов,46. Логические операторы,47. Отрицание,48. Условная конструкция (if),49. Конструкция if-else,50. Конструкция else if,51. Тернарный оператор,52. Конструкция Switch,53. Цикл While,54. Агрегация данных (Числа),55. Агрегация данных (Строки),56. Обход строк,57. Условия внутри тела цикла,58. Формирование строк в циклах,59. Синтаксический сахар,60. Инкремент и декремент,61. Возврат из циклов,62. Цикл For",Базовый,23 часа,Java для начинающих,,,Java,https://code-basics.com/ru/languages/java
Бесплатный курс,"C++ — компилируемый, статически типизированный язык программирования общего назначения.
","1. Первая программа на С++,2. Комментарии в С++,3. Структура программы в С++,4. Переменные в С++",Базовый,1 час,"Code Basics - это полностью бесплатные онлайн курсы по програмированию!
",,,C++,https://code-basics.com/ru/languages/cpp
Бесплатный курс,"Изучение программирования — непростой и длительный процесс. Изучение синтаксиса языка — самая простая и короткая часть в пути, но без неё невозможно начать. Этот курс посвящен азам написания программ на PHP. Он готовит плацдарм для написания осмысленных программ
","1. Привет, Мир!,2. Теги,3. Комментарии,4. Инструкции (Statements),5. Как мы проверяем ваши решения,6. Синтаксические ошибки,7. Арифметические операции,8. Операторы,9. Коммутативная операция,10. Композиция операций,11. Приоритет операций,12. Линтер,13. Кавычки,14. Экранирующие последовательности,15. Конкатенация,16. Кодировка,17. Типы данных,18. Слабая типизация,19. Явное преобразование типов,20. Что такое переменная,21. Изменение переменной,22. Выбор имени переменной,23. Ошибки при работе с переменными,24. Выражения в определениях,25. Переменные и конкатенация,26. Именование переменных,27. Магические числа,28. Константы,29. Магические константы,30. Интерполяция,31. Извлечение символов из строки,32. Heredoc,33. Функции и их вызов,34. Сигнатура функции,35. Аргументы по умолчанию,36. Вызов функции — выражение,37. Функции с переменным числом параметров,38. Детерминированность,39. Стандартная библиотека,40. Создание (определение) функций,41. Возврат значений,42. Параметры функций,43. Необязательные параметры функций,44. Чтение документации,45. Логический тип,46. Предикаты,47. Комбинирование операций и функций,48. Логические операторы,49. Отрицание,50. Логические операторы 2,51. Слабая типизация - 2,52. Условная конструкция (if),53. else,54. Конструкция else if,55. Тернарный оператор,56. Конструкция Switch,57. Оператор Элвис,58. Цикл While,59. Агрегация данных (Числа),60. Агрегация данных (Строки),61. Обход строк,62. Условия внутри тела цикла,63. Формирование строк в циклах,64. Пограничные случаи,65. Синтаксический сахар,66. Инкремент и декремент,67. Возврат из циклов,68. Цикл For,69. Юникод,70. Локализация,71. Поиск стартовой позиции,72. Время,73. Date,74. mktime(),75. Часовые пояса (тайм зоны)",Базовый,25 часов,PHP для начинающих,,,PHP,https://code-basics.com/ru/languages/php
Бесплатный курс,"Изучение программирования — интересный и захватывающий процесс. Синтаксис языка — самая простая и короткая часть пути, но без неё невозможно начать. Этот бесплатный онлайн-курс по JavaScript познакомит с базовыми понятиями языка. Вы выучите основы и напишете свои первые программы на JS
","1. Привет, Мир!,2. Комментарии,3. Инструкции (Statements),4. Как мы проверяем ваши решения,5. Синтаксические ошибки,6. Арифметические операции,7. Операторы,8. Коммутативная операция,9. Композиция операций,10. Приоритет операций,11. Числа с плавающей точкой,12. Бесконечность (Infinity),13. NaN,14. Линтер,15. Кавычки,16. Экранирующие последовательности,17. Конкатенация,18. Кодировка,19. Что такое переменная,20. Изменение переменной,21. Выбор имени переменной,22. Ошибки при работе с переменными,23. Выражения в определениях,24. Переменные и конкатенация,25. Стили именования,26. Магические числа,27. Константы,28. Интерполяция,29. Извлечение символов из строки,30. Типы данных,31. undefined,32. Неизменяемость примитивных типов
,33. Слабая типизация,34. Функции и их вызов,35. Математические функции JavaScript,36. Сигнатура функции,37. Параметры по умолчанию,38. Вызов функции — выражение,39. Функции с переменным числом параметров,40. Детерминированность,41. Стандартная библиотека,42. Свойства,43. Методы,44. Неизменяемость,45. Свойства и методы как выражения,46. Цепочка вызовов,47. Создание (определение) функций,48. Возврат значений,49. Параметры функций,50. Необязательные параметры функций,51. Упрощенный синтаксис функций,52. Логический тип,53. Предикаты,54. Комбинирование логических операций,55. Логические операторы,56. Отрицание,57. Результат логических выражений,58. Условная конструкция (if),59. else,60. Конструкция else if,61. Тернарный оператор,62. Конструкция Switch,63. Цикл While,64. Агрегация данных (Числа),65. Агрегация данных (Строки),66. Обход строк,67. Условия внутри тела цикла,68. Формирование строк в циклах,69. Синтаксический сахар,70. Инкремент и декремент,71. Возврат из циклов,72. Цикл For",Базовый,25 часов,Курс JavaScript: обучение JS для начинающих бесплатно,,,JavaScript,https://code-basics.com/ru/languages/javascript
Бесплатный курс,"Cascading Style Sheets (CSS) — каскадные таблицы стилей, которые позволяют оформлять содержимое страницы в соответствии с описанными правилами. Стили текста, расположение блоков на странице, анимация — всё это описывается с помощью каскадных таблиц стилей
","1. Каскадные таблицы стилей,2. Использование CSS в HTML,3. Наследование стилей,4. Запись стилей в теге style,5. Базовые стили тегов,6. Классы,7. Селекторы,8. Каскадность,9. Приоритет стилей,10. Цвета,11. Выравнивание текста,12. Размер шрифта,13. Насыщенность шрифта,14. Курсив,15. Капитель,16. Горизонтальная черта,17. Межстрочный интервал,18. Семейство шрифта,19. Обобщённое правило для шрифтов,20. Базовые правила типографики,21. Рамки,22. Фон,23. Внутренние отступы,24. Внешние отступы,25. Высота и ширина блока,26. Блочная модель,27. Префиксы,28. Единицы измерения,29. Цветовая модель RGB,30. Медиа запросы,31. Анимация,32. Переменные,33. Позиционирование",Базовый,8 часов,"Бесплатный курс CSS: онлайн обучение с нуля
",,,CSS,https://code-basics.com/ru/languages/css
Бесплатный курс,"Lua — скриптовый язык программирования
","1. Привет, Мир!",Базовый,0 часов,Lua для начинающих,,,Lua,https://code-basics.com/ru/languages/lua
Бесплатный курс,"Bash (от англ. Bourne again shell, каламбур «Born again» shell — «возрождённый» shell) — усовершенствованная и модернизированная вариация командной оболочки Bourne shell
","1. Привет, Мир!",Базовый,0 часов,Bash для начинающих,,,Bash,https://code-basics.com/ru/languages/bash
Бесплатный курс,"Clojure — современный диалект Лиспа, язык программирования общего назначения с поддержкой разработки в интерактивном режиме, поощряющий функциональное программирование и упрощающий поддержку многопоточности
","1. Привет, Мир!,2. Префиксная нотация,3. Формы,4. Порядок вычисления,5. JVM и ошибки,6. Объявление символов,7. Еще об объявлении символов,8. Объявление и вызов функций,9. Вызов функции без def,10. Сокращенный синтаксис создания функции,11. Пространства имен,12. Локальные объявления,13. Логические операторы,14. Условная конструкция,15. When и When-not,16. Case,17. Cond,18. Логические выражения,19. Объявление списков,20. Встроенные средства обхода списков, map,21. Фильтрация списков, filter,22. Сворачивание списков, функции свёртки reduce,23. Внутреннее устройство списков, пары, cons, nil,24. Обход списков и рекурсия,25. Строки,26. Символы,27. Форматирование строк,28. О векторах,29. Выбор векторов,30. Поиск элемента в коллекции,31. Иммутабельные структуры данных,32. Трансдьюсеры,33. Создание трансдьюсеров,34. О хеш-мапах,35. Еще немного о хешах,36. Сортированные хеш-мапы,37. О состоянии,38. Валидация атомов,39. Агенты,40. Наблюдатели,41. О полиморфизме,42. О протоколах,43. О макросах,44. Правила макросов,45. Данные как код,46. Цитирование,47. Вычисления внутри цитирования,48. Splicing,49. Gensym,50. Советы по созданию макросов",Средний,12 часов,Clojure как второй язык,,,Clojure,https://code-basics.com/ru/languages/clojure
Бесплатный курс,"Prolog — язык логического программирования
","1. Привет, Мир!,2. Комментарии,3. Конъюнкция и дизъюнкция,4. Backtracking,5. Факты,6. Вопросы к факт",Базовый,1 час,Prolog для начинающих,,,Prolog,https://code-basics.com/ru/languages/prolog
Бесплатный курс,"Racket относится к семейству Lisp-языков. Эти языки настолько не похожи на все остальное, что даже опытным программистам приходится изучать их с самых основ. Этот модуль посвящен знакомству с синтаксисом и концепциями лежащими в основе любого лиспа
","1. Привет, Мир!,2. Код как данные,3. Списки как дерево,4. Формы,5. Порядок вычисления,6. Скобки,7. Объявление символов,8. Создание и вызов функций,9. Вызов функции без define,10. Сокращенный синтаксис создания функции,11. Модули,12. Локальные объявления,13. Логические операторы,14. Условная конструкция,15. When и Unless,16. Case,17. Cond,18. Логические выражения,19. Объявление списков,20. Встроенные средства обхода списков, map,21. Фильтрация списков, filter,22. Сворачивание списков, функции свёртки foldl и foldr,23. Внутреннее устройство списков, пары, cons, null,24. Обход списков и рекурсия,25. Символы,26. Создание строк,27. Сравнение строк и символов, предикаты,28. Оперирование строками,29. Форматирование строк,30. Строки и неизменяемость",Средний,9 часов,Racket как второй язык,,,Racket,https://code-basics.com/ru/languages/racket
Бесплатный курс,"C# — современный объектно-ориентированный и типобезопасный язык программирования. Язык разработки приложений для платформы Microsoft .NET Framework. Применяется в создании сайтов, приложений и игр
","1. Привет, Мир!,2. Комментарии,3. Инструкции (Statements),4. Как мы проверяем ваши решения,5. Ошибки оформления (синтаксиса),6. Арифметические операции,7. Операторы,8. Коммутативная операция,9. Композиция операций,10. Приоритет операций,11. Числа с плавающей точкой,12. Оформление кода,13. Кавычки,14. Экранирующие последовательности,15. Конкатенация,16. Что такое переменная,17. Изменение переменной,18. Выбор имени переменной,19. Ошибки при работе с переменными,20. Выражения в определениях,21. Переменные и конкатенация,22. Именование переменных,23. Магические числа,24. Интерполяция,25. Зачем нужны типы данных,26. Явная типизация,27. Какие бывают типы,28. Значение null,29. Явное преобразование типов,30. Методы и их вызов,31. Параметры методов,32. Свойства,33. Вызов метода — выражение,34. Неизменяемость строк,35. Цепочки вызовов методов,36. Детерминированность,37. Побочные эффекты,38. Стандартная библиотека,39. Какие бывают методы,40. Создание (определение) метода,41. Возврат значений,42. Определение методов,43. Методы с переменным количеством параметров,44. Логический тип,45. Предикаты,46. Комбинирование операций и методов,47. Логические операторы,48. Отрицание,49. Логические операторы 2,50. Условная конструкция (if),51. Конструкция if-else,52. Конструкция else if,53. Тернарный оператор,54. Конструкция Switch,55. Цикл While,56. Агрегация данных (Числа),57. Агрегация данных (Строки),58. Обход строк,59. Условия внутри тела цикла,60. Формирование строк в циклах,61. Синтаксический сахар,62. Инкремент и декремент,63. Возврат из циклов,64. Цикл For",Базовый,16 часов,C# для начинающих,,,C#,https://code-basics.com/ru/languages/csharp
